,Result: # Ballots,Result: Median OP,Result: Received OP,Meta: Project Name,Funding: Governance Fund,Funding: Other,Funding: Partner Fund,Funding: RPGF1,Funding: RPGF2,Funding: Revenue,OSO: # GitHub Repos,OSO: Date First Commit,OSO: Total Stars,OSO: Total Forks,OSO: Total Contributors,OSO: Contributors Last 6 Months,OSO: Avg Monthly Active Devs Last 6 Months,OSO: # OP Contracts,OSO: Date First Txn,OSO: Total Onchain Users,OSO: Onchain Users Last 6 Months,OSO: Total Txns,OSO: Total Txn Fees (ETH),OSO: Txn Fees Last 6 Months (ETH),OSO: # NPM Packages,OSO: Date First Download,OSO: Total Downloads,OSO: Downloads Last 6 Months,OSO: Has Profile
196,47,50000.0,49689.64,⚡️ TurboETH,0,1,0,0,1,0,18.0,2022-06-19,241.0,63.0,31.0,19.0,1.6666666666666667,0.0,,0.0,0.0,,,,1.0,2023-06-22,1755.0,1755.0,1
200,44,50000.0,49689.64,DAC on OP Stack,0,0,0,0,0,0,5.0,2021-08-05,,,44.0,22.0,3.8333333333333335,0.0,,0.0,0.0,,,,0.0,,,,1
201,44,50000.0,49689.64,LearnWeb3,0,1,0,0,0,0,79.0,2021-12-13,167.0,93.0,225.0,10.0,0.6666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
202,43,50000.0,49689.64,WTF Academy,0,0,0,0,1,0,31.0,2022-07-23,2137.0,360.0,241.0,46.0,2.833333333333333,1.0,2023-07-30,1.0,1.0,3.0,2.875826773e-09,2.875826773e-09,0.0,,,,1
204,41,50000.0,49689.64,cryo,0,0,0,0,0,0,1.0,2023-06-18,,,26.0,26.0,0.8333333333333334,0.0,,0.0,0.0,,,,0.0,,,,1
206,41,50000.0,49689.64,ETHBarcelona,0,1,0,0,0,0,2.0,2023-04-02,,,2.0,2.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
208,40,50000.0,49689.64,Node Guardians,0,0,0,0,0,0,5.0,2022-06-30,36.0,30.0,24.0,10.0,0.5,0.0,,0.0,0.0,,,,0.0,,,,1
211,39,50000.0,49689.64,Covalent,0,0,0,0,0,0,16.0,2013-12-26,,,135.0,58.0,2.1666666666666665,0.0,,0.0,0.0,,,,0.0,,,,1
212,39,50000.0,49689.64,Sphinx (formerly ChugSplash),0,0,0,0,1,0,1.0,2022-07-13,185.0,,10.0,6.0,2.0,0.0,,0.0,0.0,,,,1.0,2023-07-30,2298.0,2298.0,1
213,39,50000.0,49689.64,Ponder,0,1,0,0,0,1,1.0,2023-03-13,,,1.0,1.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
215,36,50000.0,49689.64,Giveth Web3 House,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
216,36,50000.0,49689.64,Greg's Farcaster Projects,0,1,0,0,0,0,1.0,2022-06-12,,,10.0,5.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
217,35,50000.0,49689.64,Odos,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
220,35,50000.0,49689.64,EZKL,0,1,0,0,0,0,9.0,2022-07-05,602.0,71.0,45.0,26.0,2.6666666666666665,0.0,,0.0,0.0,,,,0.0,,,,1
223,33,50000.0,49689.64,Public Assembly ,0,0,0,0,0,1,29.0,2022-09-03,26.0,6.0,21.0,9.0,2.333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
225,33,50000.0,49689.64,Synapse DAO,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0
226,32,50000.0,49689.64,Spearbit,1,0,0,0,0,0,1.0,2021-12-29,436.0,,12.0,6.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
228,31,50000.0,49689.64,Alex Harley,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
230,30,50000.0,49689.64,Antoine,0,0,0,0,0,1,7.0,2020-12-26,,,31.0,6.0,1.0,0.0,,0.0,0.0,,,,2.0,2021-01-30,154851.0,26464.0,1
231,30,50000.0,49689.64,RADAR,0,0,0,0,0,1,12.0,2022-02-15,,,14.0,6.0,2.0,0.0,,0.0,0.0,,,,0.0,,,,1
233,27,50000.0,49689.64,Bonding Curve Research Group,0,1,0,0,0,0,2.0,2023-04-01,,,3.0,2.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
236,23,50000.0,49689.64,Ankr,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
241,43,49505.0,49197.71,Public HAUS,0,1,0,0,0,0,64.0,2018-11-19,,,119.0,16.0,4.5,2.0,2023-01-23,33.0,30.0,72.0,5.362080281271903e-05,4.3086408183532006e-05,0.0,,,,1
242,34,48256.0,47956.47,Airstack,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
243,30,48256.0,47956.47,DackieSwap,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
245,29,48000.0,47702.06,Cannon-rs,0,0,0,0,1,0,1.0,2022-10-20,29.0,,5.0,5.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
248,58,46371.5,46083.66,Rollup.codes,0,0,0,0,0,0,119.0,2017-11-13,191.0,46.0,203.0,35.0,1.8333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
250,42,45000.0,44720.68,Flexible Voting,0,1,0,0,1,0,35.0,2019-02-04,310.0,77.0,62.0,15.0,1.5,11.0,2023-04-18,1.0,1.0,64.0,0.0074979031166121,0.0074970163786121,0.0,,,,1
251,38,45000.0,44720.68,GasHawk,1,0,0,0,1,0,2.0,2022-08-11,5.0,2.0,3.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,1
252,27,45000.0,44720.68,OpenOcean,0,0,0,0,0,1,16.0,2020-09-03,,,12.0,1.0,0.3333333333333333,1.0,2022-01-20,22465.0,12461.0,45995.0,0.3860525795500993,0.3336922434058668,0.0,,,,1
253,46,43256.0,42987.5,Token Terminal,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
256,45,40000.0,39751.71,Dapp-Learning,0,0,0,0,1,0,11.0,2021-04-16,4211.0,1111.0,236.0,22.0,0.6666666666666666,1.0,2023-10-12,2.0,2.0,26.0,8.2334090934592e-05,8.2334090934592e-05,0.0,,,,1
257,32,40000.0,39751.71,Synthetix IPFS Node,0,0,0,0,0,0,5.0,2023-03-22,9.0,,6.0,4.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
258,25,40000.0,39751.71,Wildcards Protocol,1,0,0,0,0,0,4.0,2023-05-02,,,2.0,2.0,0.6666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
259,25,39918.0,39670.22,Buildooor,0,0,0,0,0,0,1.0,2023-08-28,,,1.0,1.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
261,26,38789.5,38548.73,Dasy,0,0,0,0,0,0,2.0,2022-09-07,,,1.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,1
262,46,38462.0,38223.26,indexed.xyz,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
264,38,38462.0,38223.26,Launchcaster,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
265,38,38462.0,38223.26,Blockhead: track/visualize/explore all of crypto/DeFi/web3 in ONE interface!,0,0,0,0,0,0,1.0,2020-10-06,,42.0,5.0,1.0,1.0,0.0,,0.0,0.0,,,,0.0,,,,1
271,31,38462.0,38223.26,Archly,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
272,31,38462.0,38223.26,Iggy Social - Web3 Social for DAOs,0,1,0,0,0,0,47.0,2022-01-03,12.0,10.0,8.0,5.0,1.1666666666666667,15.0,2022-02-23,433.0,51.0,1291.0,0.0002891785726998,0.0001867625675721,0.0,,,,1
276,50,37447.0,37214.56,EIP-4824/ DAOstar,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
279,29,35000.0,34782.75,Mosaic,0,1,0,0,0,0,2.0,2023-06-22,,,3.0,3.0,0.5,1.0,2023-08-22,997.0,997.0,1225.0,0.0035384800472587,0.0035384800472587,0.0,,,,1
280,27,35000.0,34782.75,solidity-analyzer,0,0,0,0,0,0,1.0,2023-07-21,,,1.0,1.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
281,19,35000.0,34782.75,Another World,1,1,0,0,0,0,5.0,2022-11-21,1.0,,1.0,1.0,0.6666666666666666,9.0,2023-05-05,15.0,15.0,1790.0,0.0827973152588592,0.0827973152588592,0.0,,,,1
284,42,32500.0,32298.27,hildobby,0,0,0,0,1,0,10.0,2014-09-19,961.0,907.0,607.0,143.0,7.5,0.0,,0.0,0.0,,,,0.0,,,,1
285,29,32000.0,31801.37,Geo Web,1,1,0,0,0,0,33.0,2020-07-10,21.0,15.0,35.0,8.0,1.1666666666666667,3.0,2022-12-13,93.0,56.0,328.0,0.0044690176417932,0.0033293099177932,0.0,,,,1
289,25,30487.0,30297.76,Optimism Prices Contracts,0,0,0,0,1,0,1.0,2023-01-29,8.0,3.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
291,26,30243.5,30055.77,Optimism Grant Analytics: Grant3,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
292,55,30000.0,29813.79,ITU Blockchain,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
293,41,30000.0,29813.79,Optimism Grants Changelog,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,0
294,35,30000.0,29813.79,Superchain Eco,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0
295,32,30000.0,29813.79,Optimystics,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,1
297,23,30000.0,29813.79,joohhnnn,0,0,0,0,0,0,3.0,2023-09-07,,,2.0,2.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
298,36,29000.0,28819.99,Web3bridge,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
299,33,28495.0,28318.13,Kiwi News,0,1,0,0,0,1,3.0,2021-12-21,34.0,11.0,13.0,8.0,1.6666666666666667,1.0,2023-07-11,55.0,55.0,125.0,0.0001533972769627,0.0001533972769627,0.0,,,,1
301,32,28468.0,28291.29,AyaHQ,0,1,0,0,0,0,3.0,2022-08-16,,,7.0,5.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
303,40,28000.0,27826.2,LXDAO,0,1,0,0,0,0,56.0,2021-11-21,271.0,130.0,68.0,28.0,9.666666666666666,0.0,,0.0,0.0,,,,3.0,2023-02-02,2252.0,1530.0,1
305,37,27717.0,27544.96,Andrew Hong (ilemi),0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
308,38,27500.0,27329.3,Mechanism Institute,0,1,0,0,0,0,1.0,2023-07-03,1.0,,1.0,1.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
309,34,27500.0,27329.3,Faina,0,0,0,0,1,0,1.0,2021-03-11,24.0,14.0,9.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,,1
310,34,26876.0,26709.18,MetricsDAO,0,1,0,0,0,1,9.0,2021-11-03,,,78.0,18.0,1.1666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
313,37,25000.0,24844.82,Eventcaster,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
314,36,25000.0,24844.82,Baseswap,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
315,31,25000.0,24844.82,FOAM,0,0,0,0,0,0,43.0,2012-04-27,,,114.0,6.0,0.8333333333333334,0.0,,0.0,0.0,,,,0.0,,,,1
319,25,25000.0,24844.82,Inverter Network,1,0,0,0,0,1,7.0,2022-09-08,3.0,1.0,17.0,8.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
320,25,25000.0,24844.82,Sweetman,0,0,0,0,0,0,1.0,2023-04-10,,,4.0,4.0,1.8333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
321,24,25000.0,24844.82,Kromatika Finance,1,0,0,0,0,0,7.0,2021-10-07,3.0,3.0,13.0,3.0,0.1666666666666666,10.0,2021-11-21,2281.0,871.0,23166.0,0.1267037048522328,0.1248704988440721,0.0,,,,1
322,21,25000.0,24844.82,MultiBaas blockchain middleware,1,0,0,0,0,1,28.0,2014-01-25,5.0,3.0,107.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
323,19,24945.0,24790.16,0xSalman,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
324,22,24755.0,24601.34,Redacted Research,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
329,31,24510.0,24357.86,0xs34n,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1
330,29,24510.0,24357.86,Synapse Labs,0,0,0,0,0,0,12.0,2021-05-13,80.0,28.0,37.0,15.0,4.833333333333333,29.0,2021-11-13,388604.0,15836.0,1246131.0,0.526437058230777,0.31580197674618,0.0,,,,1
331,23,24510.0,24357.86,Infinity Wallet,0,0,0,0,0,0,66.0,2011-08-31,23.0,26.0,688.0,8.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
334,48,23755.0,23607.55,ETHAccra,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
335,47,23309.0,23164.32,Bankless DAO,0,1,0,0,1,0,41.0,2021-04-26,37.0,35.0,140.0,30.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
340,22,22255.0,22116.86,Accessible Education for Web3 Public Goods Changemakers,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
341,22,22255.0,22116.86,Opti.domains | Connecting Web2&3 with ENS + Attestation,1,1,0,0,0,1,8.0,2021-04-19,1.0,,28.0,2.0,0.5,0.0,,0.0,0.0,,,,0.0,,,,1
343,18,22255.0,22116.86,Marko,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
344,18,22255.0,22116.86,Smart Onboarding SDK,0,0,0,0,0,0,24.0,2022-03-26,,,28.0,6.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
347,48,21500.0,21366.55,HER LATAM _ Optimistas Brillando en Blockchain,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,0
349,19,20680.0,20551.64,valio.xyz,1,0,0,0,0,0,1.0,2023-08-21,,,1.0,1.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
352,43,20000.0,19875.86,Optimism Guide,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0
356,37,20000.0,19875.86,SpaghettETH,0,1,0,0,0,0,1.0,2022-06-24,,,9.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
358,34,20000.0,19875.86,Protofire Blockchain Learning Path,0,0,0,0,0,0,2.0,2017-09-11,959.0,157.0,203.0,21.0,0.5,0.0,,0.0,0.0,,,,0.0,,,,1
361,29,20000.0,19875.86,Remix CC,0,1,0,0,0,0,16.0,2021-06-21,8.0,6.0,21.0,3.0,0.5,0.0,,0.0,0.0,,,,0.0,,,,1
363,27,20000.0,19875.86,WakeUp Labs,0,0,1,0,1,0,9.0,2021-10-04,2.0,1.0,17.0,3.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
364,27,20000.0,19875.86,1W3,0,0,0,0,0,0,3.0,2022-12-26,1.0,1.0,2.0,2.0,0.0,1.0,2023-07-05,6.0,6.0,20.0,6.217032499344e-06,6.217032499344e-06,0.0,,,,1
365,27,20000.0,19875.86,Yoki Finance,0,0,0,0,0,0,2.0,2023-05-09,,,4.0,3.0,0.6666666666666666,1.0,2023-09-04,6.0,6.0,6.0,2.5356921699029005e-05,2.5356921699029005e-05,0.0,,,,1
366,25,20000.0,19875.86,Pin Save - decentralized Pinterest,0,1,0,0,0,0,2.0,2021-11-05,12.0,7.0,7.0,4.0,0.6666666666666666,1.0,2023-10-23,1.0,1.0,1.0,8.8979581397538e-05,8.8979581397538e-05,0.0,,,,1
367,25,20000.0,19875.86,Parsec Finance,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
369,23,20000.0,19875.86,Titanoboa,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
370,19,20000.0,19875.86,Reno,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
372,18,18586.5,18471.13,Gov,0,0,0,0,1,0,2.0,2022-10-11,5.0,2.0,2.0,1.0,0.1666666666666666,1.0,2023-03-04,4.0,4.0,26.0,2.4105313561588008e-05,2.3291675561588005e-05,0.0,,,,1
373,38,18544.5,18429.39,DeFi Africa,0,1,0,0,0,0,1.0,2023-10-20,,,6.0,6.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
374,19,18350.0,18236.1,Ivan Molto,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
376,21,18000.0,17888.27,Crypto Sapiens,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
377,22,17826.0,17715.35,Keyring,0,0,0,0,0,0,1.0,2023-06-01,,,1.0,1.0,0.8333333333333334,0.0,,0.0,0.0,,,,0.0,,,,1
378,24,17500.0,17391.37, simple-optimism-node (Maintaining my own fork),0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
382,38,17000.0,16894.48,EthereansOS,0,0,0,0,1,0,31.0,2019-04-19,18.0,11.0,47.0,1.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
383,30,16600.0,16496.96,JobStash,0,1,0,0,0,1,2.0,2023-01-16,,,6.0,5.0,0.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
386,35,15000.0,14906.89,Eth-Volcano,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
389,33,15000.0,14906.89,Rollup Economics Dune Spell,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
397,25,15000.0,14906.89,far.quest,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0
399,19,15000.0,14906.89,Kredeum NFTs Factory,0,0,0,0,0,0,17.0,2021-01-14,14.0,13.0,15.0,3.0,0.8333333333333334,3.0,2022-11-01,11.0,11.0,23.0,0.0001634712165563,0.0001624952885563,0.0,,,,1
403,17,12777.0,12697.69,RareSkills Book of Zero Knowledge Proofs,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
406,24,12500.0,12422.41,FilosofiaCodigo,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
408,18,12500.0,12422.41,JEFE TOKEN,0,0,0,0,0,0,6.0,2021-12-07,,,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
410,24,11653.0,11580.67,zerokn0wledge,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
414,20,11000.0,10931.72,Bankless Publishing,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
417,28,10184.0,10120.79,OurNetwork,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
422,34,10000.0,9937.93,ODTU Blockchain,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
423,33,10000.0,9937.93,jordanmmck,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
428,31,10000.0,9937.93,Andino - Talent in technology,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0
432,30,10000.0,9937.93,Rodrigo NuñΞz,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
436,24,10000.0,9937.93,Awesome Optimism,0,0,0,0,0,0,1.0,2023-08-27,,,4.0,4.0,0.5,0.0,,0.0,0.0,,,,0.0,,,,1
438,22,10000.0,9937.93,Layer 2 Weekly Roundup,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
439,21,10000.0,9937.93,Taz,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
440,20,10000.0,9937.93,Learning about OP through Gitcoin Grants,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,0
443,18,10000.0,9937.93,bh2smith,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0
444,17,10000.0,9937.93,Cardo,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
446,25,8500.0,8447.24,CII,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
448,24,7500.0,7453.45,GiveStation (youbuidl),0,0,0,0,1,0,4.0,2022-01-10,3.0,2.0,6.0,1.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
456,35,5000.0,4968.96,RoOptimism,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
462,31,5000.0,4968.96,Onboard en Perú Optimistas e Indexer ,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
472,27,5000.0,4968.96,Revelo Intel,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
491,21,5000.0,4968.96,Bedrock Contracts Architecture Diagram,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,0
492,20,5000.0,4968.96,Doris Protocol,1,0,0,0,0,0,1.0,2023-10-12,,,3.0,3.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
504,16,10000.0,0.0,Donate3,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,0
505,16,22643.5,0.0,DexKit,0,0,0,0,1,0,26.0,2020-10-29,66.0,89.0,15.0,6.0,1.3333333333333333,0.0,,0.0,0.0,,,,0.0,,,,1
506,16,15000.0,0.0,MesoReefDAO,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1
511,16,29698.5,0.0,Artemis Analytics,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
514,16,41330.5,0.0,Downstream,0,0,0,0,0,0,3.0,2022-08-18,,,16.0,15.0,5.666666666666667,0.0,,0.0,0.0,,,,0.0,,,,1
516,16,22489.0,0.0,vrypan,0,0,0,0,0,0,2.0,2023-10-19,,,2.0,2.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
517,16,51612.0,0.0,Ether.actor,0,1,0,0,0,0,1.0,2021-10-12,,,5.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
520,15,25612.0,0.0,APAC DAO,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
521,15,10000.0,0.0,Arkham,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
523,15,15335.0,0.0,Namespace,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
525,15,27717.0,0.0,supernova,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
527,15,7500.0,0.0,Golden Boys (GOLD),0,1,0,0,0,0,5.0,2023-08-18,,,3.0,3.0,0.5,0.0,,0.0,0.0,,,,0.0,,,,1
528,15,10000.0,0.0,Ryan Berckmans,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
529,15,30000.0,0.0,yAcademy/yAudit,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
530,14,12500.0,0.0,arabianhorses,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
531,14,65995.5,0.0,Vue Dapp,0,1,0,0,0,0,2.0,2021-08-20,174.0,46.0,41.0,6.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
533,14,7849.5,0.0,Gajesh Naik,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
534,14,7500.0,0.0,EIP Fun,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
535,14,21324.0,0.0,Web3Native,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
536,14,15000.0,0.0,Mac Budkowski,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,0
541,13,10000.0,0.0,BlockchainOAU,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
543,13,20777.0,0.0,ARPA Randcast,0,0,0,0,0,0,2.0,2022-07-20,,,6.0,6.0,2.0,0.0,,0.0,0.0,,,,0.0,,,,1
550,12,15000.0,0.0,UNWA,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0
551,12,9274.0,0.0,banterlytics,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
554,12,5000.0,0.0,DevRel Uni,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
555,12,37255.0,0.0,Client Side Proofs,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
559,12,7500.0,0.0,Nodies DLB,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
561,12,7888.5,0.0,Sinjun,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
562,12,10000.0,0.0,Apetimism Launchpad,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,0
565,12,34755.0,0.0,ERC1155 Bridge,1,0,1,1,1,1,14.0,2021-07-01,,,11.0,4.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
567,11,10000.0,0.0,r72.fi,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
569,11,10000.0,0.0,zenbit.eth,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
571,11,20000.0,0.0,sunce86,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
572,11,28969.0,0.0,Picodes,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
576,10,27553.5,0.0,BunnyAI,0,1,0,0,0,0,1.0,2023-09-23,,,6.0,6.0,0.8333333333333334,0.0,,0.0,0.0,,,,0.0,,,,1
579,10,30000.0,0.0,Decentraclasses,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1
585,9,24978.0,0.0,markg85,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
589,9,10000.0,0.0,Eternal Garden: ORIGINS,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,0
590,9,8326.0,0.0,jaxcoder,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
592,9,3777.0,0.0,Ivan on Tech,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
594,9,2000.0,0.0,Hope: A Curated AI Assistant for the Optimism Ecosystem,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
595,9,1500.0,0.0,simple8720,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
599,9,5000.0,0.0,Validato,0,0,0,0,0,0,2.0,2023-10-16,,,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,1
600,8,19973.5,0.0,OpTracker,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
604,8,1638.5,0.0,Squirtle0x,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
606,8,31162.0,0.0,CompareNodes,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
610,8,14350.0,0.0,Raiden,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
614,7,10000.0,0.0,Perelyn,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
615,7,5000.0,0.0,Optimism AI,0,0,0,0,0,0,2.0,2023-10-12,,,1.0,1.0,0.1666666666666666,0.0,,0.0,0.0,,,,0.0,,,,1
634,6,0.0,0.0,Blocktorch,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
637,5,0.0,0.0,UTU,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
639,4,2500.0,0.0,c2ba,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0
640,4,5712.0,0.0,SupraOracles,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,0
